The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
ppo|to: 0.00020808767427342721
vbn+to|ppss: 0.0003007744943228814
do|vbn+to: 0.2
--|``: 0.0007057993177273262
od|--: 0.0003069367710251688
wdt|ql: 0.00011809163911195088
uh|at: 2.1059060134146214e-05
wdt|uh: 0.001736111111111111
np$-tl|--: 0.0003069367710251688
--|np$-tl: 0.007352941176470588
bem*|ppss: 0.0006767426122264832
vbg|bem*: 0.6666666666666666
md+hv|pps: 0.00011310298026352995
ben|md+hv: 0.14285714285714285
wrb+do|``: 0.00011763321962122103
ppss|wrb+do: 1.0
hv*|--: 0.0003069367710251688
vb|md+hv: 0.14285714285714285
wrb+in|``: 0.00011763321962122103
nn|wrb+in: 1.0
np+hvz|cs: 4.663526558783752e-05
pps+hvz|wrb: 0.00022930520522815867
abn|uh: 0.001736111111111111
at|bem*: 0.2222222222222222
hv+to|do*: 0.00211864406779661
cs|pps: 0.0002262059605270599
to|pps: 0.0003393089407905898
nn$-tl|abx: 0.0014064697609001407
nr|(: 0.00045330915684496827
nn$|nns: 1.8675531318866023e-05
*|nps: 0.000819672131147541
fw-in|vbd: 3.940886699507389e-05
cs|fw-nn: 0.0070921985815602835
dti|ppss: 0.00022558087074216106
vbn|fw-nns: 0.012345679012345678
to|fw-nn-tl: 0.018867924528301886
fw-ppss|,: 1.774622892635315e-05
fw-ber|fw-ppss: 0.16666666666666666
fw-jj|fw-ber: 0.3333333333333333
fw-pp$|fw-vb: 0.038461538461538464
fw-jj|fw-pp$: 0.3333333333333333
fw-nns|fw-jj: 0.07692307692307693
fw-in|fw-rb: 0.0625
''|fw-rb: 0.125
fw-nn$|at: 1.0529530067073107e-05
nn|fw-nn$: 0.2222222222222222
md*|vbd: 3.940886699507389e-05
fw-nn$|fw-in: 0.012345679012345678
hv*|nn: 6.752240055638458e-06
ber-tl|``: 0.00011763321962122103
nns-tl|ber-tl: 0.16666666666666666
rb-tl|nns-tl: 0.0009341429238673517
to-tl|rb-tl: 0.025
fw-jj|dti: 0.00035248501938667606
doz|cs: 0.00013990579676351257
,|rb-tl: 0.075
jjs|wp$: 0.008130081300813009
np$|jjr: 0.0005257623554153522
vbn-tl|.: 6.794632240529981e-05
dts|*: 0.00022406453058480843
pps|': 0.0031545741324921135
nr-tl|``: 0.00011763321962122103
ap|'': 0.00011824524062906468
rb-hl|': 0.0031545741324921135
bez|': 0.006309148264984227
rb|np-hl: 0.0020491803278688526
nps$|np: 5.97853705198338e-05
(|ppss: 0.0001503872471614407
jjt|nps$: 0.02702702702702703
fw-in|nr: 0.0006531678641410843
np$|fw-at-tl: 0.02702702702702703
jjs|,: 5.323868677905945e-05
vbg-tl|(: 0.00045330915684496827
''|rb-tl: 0.225
at|uh: 0.003472222222222222
md-tl|np-tl: 0.0002572678157962439
pn+hvz|.: 1.6986580601324952e-05
cc|uh: 0.001736111111111111
pn+bez|``: 0.00023526643924244207
jj|pn+bez: 0.14285714285714285
ppss+hvd|ppo: 9.256687957048968e-05
ppss+ber|ppo: 9.256687957048968e-05
dt|nn$: 0.0006997900629811056
dtx|do*: 0.00211864406779661
vbd|ppss+md: 0.002150537634408602
uh|bedz: 0.00010563008344776593
ql|jj-tl: 0.000250501002004008
wps|jj-tl: 0.000250501002004008
pps+bez|uh: 0.003472222222222222
.|pp$: 0.00018316136516270836
np$|hv: 0.00026281208935611036
ppss+hvd|qlp: 0.00398406374501992
nr-tl|vb: 0.00012264295569523224
wps+hvd|nn: 6.752240055638458e-06
rb|wps+hvd: 0.3333333333333333
be|cd: 7.613826709304096e-05
hv|:: 0.001304631441617743
wpo|--: 0.0006138735420503376
pps+bez|wps: 0.00026219192448872575
ppss+ber|pps+bez: 0.002364066193853428
np-tl|dt: 0.0004592422502870264
np-tl-hl|.: 1.6986580601324952e-05
vbz-hl|np-tl-hl: 0.2
in|rb-hl: 0.041666666666666664
jj-hl|np-hl: 0.0020491803278688526
ap|nps$: 0.02702702702702703
cd|nr$: 0.06060606060606061
nps$|jj: 1.610591248047158e-05
od|nps$: 0.02702702702702703
jjr-hl|nns-hl: 0.001658374792703151
at|jjr-hl: 0.058823529411764705
vbn-hl|``: 0.00011763321962122103
''|vbg-hl: 0.006944444444444444
np|nps$: 0.05405405405405406
nn|rb-hl: 0.020833333333333332
vb-hl|cd-hl: 0.004555808656036446
od-hl|vbz-hl: 0.027777777777777776
vbd-tl|jj-tl: 0.000250501002004008
,|vbd-tl: 0.16666666666666666
fw-cc|fw-in+nn: 0.2
fw-in|fw-cc: 0.037037037037037035
fw-uh|uh: 0.001736111111111111
fw-rb|``: 0.00047053287848488413
ex|md: 0.0002489213408562894
fw-rb|fw-cc: 0.1111111111111111
fw-jj-tl|at: 8.423624053658486e-05
fw-jj-tl|fw-jj-tl: 0.029850746268656716
fw-jj|ap: 0.00010814318157240186
nil|at: 1.0529530067073107e-05
jj|nil: 0.006493506493506494
fw-uh|vbd: 3.940886699507389e-05
in|fw-uh: 0.125
vbz|nn$: 0.0006997900629811056
cc|nn-tl-hl: 0.009615384615384616
pps+bez-hl|.: 1.6986580601324952e-05
jj-hl|pps+bez-hl: 1.0
rbt|in: 2.5647821217587564e-05
jjr-tl|at: 3.158859020121932e-05
vbg-hl|nns-hl: 0.004975124378109453
np|vbg-hl: 0.006944444444444444
nns-tl|bed: 0.0006343165239454488
nns$|``: 0.00011763321962122103
nps$|nn$: 0.0006997900629811056
jj-tl|cd-hl: 0.002277904328018223
nns|nps: 0.000819672131147541
ppl|np-tl: 0.0002572678157962439
np-tl|bedz: 0.00021126016689553185
ex|nps: 0.000819672131147541
hvd|rp: 0.00034381983840467596
fw-at-tl|vbn: 3.524850193866761e-05
.|fw-at+nn-tl: 0.08333333333333333
fw-at-tl|,: 3.54924578527063e-05
fw-nps|fw-in+at-tl: 0.058823529411764705
,|fw-nps: 0.5
nn$-tl|:: 0.001304631441617743
wpo|): 0.0004514672686230248
nn|bem: 0.0045045045045045045
doz|vbd: 3.940886699507389e-05
fw-at|in: 8.549273739195855e-06
fw-ppo|fw-in+at: 0.25
,|fw-ppo: 0.25
'|ap: 0.00043257272628960744
.-hl|np-tl: 0.0002572678157962439
ex|np-tl: 0.0002572678157962439
.-hl|jj-tl-hl: 0.041666666666666664
cd-tl|nns: 1.8675531318866023e-05
nr|cd-tl: 0.0011248593925759281
.-hl|nr-tl-hl: 0.2
2|vb: 6.132147784761612e-05
cc-tl-hl|np-hl: 0.0020491803278688526
np-hl|cc-tl-hl: 0.5
np-hl|in-tl-hl: 0.2
np|,-hl: 0.012738853503184714
at-tl-hl|.: 1.6986580601324952e-05
nn-tl-hl|at-tl-hl: 0.2
nn-tl-hl|in-tl-hl: 0.4
cc-tl-hl|nn-tl-hl: 0.009615384615384616
nn-tl-hl|cc-tl-hl: 0.5
jj-tl-hl|jj-tl-hl: 0.041666666666666664
,-hl|jj-tl-hl: 0.041666666666666664
nps-hl|nn-hl: 0.0006983240223463687
,-hl|nps-hl: 0.125
nps-hl|,-hl: 0.006369426751592357
jj-tl-hl|nns-hl: 0.001658374792703151
:-hl|nn-tl-hl: 0.009615384615384616
dt|:-hl: 0.021739130434782608
np-hl|nns-hl: 0.004975124378109453
od|abn: 0.00034602076124567473
np$-hl|np-hl: 0.0020491803278688526
jj-hl|np$-hl: 0.25
rb-hl|jj-hl: 0.002577319587628866
vbg-hl|rb-hl: 0.0625
nr-hl|vbg-hl: 0.006944444444444444
nn-hl|nr-hl: 0.2
np-hl|jjr-hl: 0.058823529411764705
jj|rbt: 0.01020408163265306
md-tl|:: 0.0006523157208088715
ppss|md-tl: 0.125
*-hl|': 0.0031545741324921135
ppss+ber|do: 0.0007763975155279503
(-hl|np-tl: 0.0005145356315924878
dti-hl|.: 1.6986580601324952e-05
jj-hl|dti-hl: 0.16666666666666666
``|vbn-hl: 0.014814814814814815
pn-hl|.: 1.6986580601324952e-05
to-hl|pn-hl: 0.5
2%|in: 8.549273739195855e-06
jj|2%: 1.0
bed|4: 0.07692307692307693
2|vbd: 3.940886699507389e-05
dt|2: 0.022727272727272728
bedz*|'': 0.00011824524062906468
``|bedz*: 0.006756756756756757
``|nr: 0.0006531678641410843
cd|cd$: 0.2
:|rbr: 0.0017346053772766695
nn-tl|nns$: 0.003952569169960474
pp$|uh: 0.003472222222222222
uh|jj: 3.221182496094316e-05
fw-in-tl|``: 0.00011763321962122103
nns-tl|hvz-tl: 0.25
md*|vb: 6.132147784761612e-05
nn$-tl|pp$-tl: 0.037037037037037035
jjr|ppss: 7.519362358072035e-05
hvd|nn-nc: 0.00847457627118644
hvz|vbd: 3.940886699507389e-05
at-tl|nn-tl: 0.0001543090810894221
hvg|jj: 1.610591248047158e-05
jj-nc|nn-nc: 0.01694915254237288
vbg|dod: 0.0019940179461615153
np-tl|ppo: 9.256687957048968e-05
wdt+bez|,: 1.774622892635315e-05
vbg+to|``: 0.00011763321962122103
abn|np-tl: 0.0002572678157962439
ppo-tl|jj-tl: 0.000250501002004008
np|nn$: 0.004198740377886634
vbn-hl|cd-hl: 0.002277904328018223
np|ppls: 0.0029585798816568047
nr|od: 0.002154011847065159
to-hl|vbz-hl: 0.027777777777777776
in-hl|``: 0.00023526643924244207
jjt-hl|in-hl: 0.0020242914979757085
rb|vbn-hl: 0.007407407407407408
nr|wps: 0.00026219192448872575
nn-hl|nn$-hl: 0.95
hvd-hl|': 0.0031545741324921135
to-hl|hvd-hl: 1.0
'|nns-hl: 0.003316749585406302
od-tl|wrb: 0.00022930520522815867
abx|(: 0.001813236627379873
do|): 0.0004514672686230248
nn$-tl|vbg-tl: 0.015151515151515152
(|nr-tl: 0.003389830508474576
ap|pps+bez: 0.004728132387706856
dt|ppss+ber: 0.003663003663003663
under|at: 1.0529530067073107e-05
jj|under: 0.3333333333333333
.|vb-tl: 0.010416666666666666
dod*|cd: 0.00015227653418608191
hv|at: 1.0529530067073107e-05
cd$|,: 1.774622892635315e-05
2-inch|--: 0.0003069367710251688
--|2-inch: 0.16666666666666666
cs|cd-hl: 0.002277904328018223
under|vbn-tl: 0.0017921146953405018
,|under: 0.3333333333333333
under|nn: 6.752240055638458e-06
ql|under: 0.3333333333333333
--|cd-tl: 0.003374578177727784
rb|cd-hl: 0.002277904328018223
nns|cd$: 0.2
vbz|rbt: 0.02040816326530612
cc-tl|--: 0.0003069367710251688
'|np-tl: 0.0005145356315924878
vbd|': 0.006309148264984227
md*|fw-ppl: 0.1111111111111111
)|fw-wdt: 0.06666666666666667
bed|hv: 0.00026281208935611036
hvg|dtx: 0.01
.|nn$-tl: 0.002824858757062147
wps|dt: 0.0001148105625717566
dti|bedz*: 0.02027027027027027
pn|pps: 0.00011310298026352995
bedz|pp$: 6.105378838756945e-05
abn|wps: 0.0005243838489774515
cs|ppss+ber: 0.003663003663003663
nn-tl|ppss+bem: 0.00796812749003984
nn$|np$: 0.00040016006402561027
cc|bem: 0.0045045045045045045
pn|od: 0.0005385029617662897
at|np+bez: 0.16
jj|rb$: 0.1111111111111111
hvz|rbr: 0.0008673026886383347
nn|fw-wdt: 0.06666666666666667
fw-vb|jj: 1.610591248047158e-05
.|fw-vb: 0.038461538461538464
fw-vb-nc|``: 0.00023526643924244207
''|fw-vb-nc: 0.6666666666666666
)|doz: 0.0021929824561403508
8-inch|in: 8.549273739195855e-06
jj|8-inch: 0.2
2-inch|cs: 4.663526558783752e-05
8-inch|cc: 0.0001096611470555982
cd|8-inch: 0.2
at|8-inch: 0.2
nn|8-inch: 0.4
do*-hl|.: 1.6986580601324952e-05
vb-hl|do*-hl: 1.0
dti|.-hl: 0.0067226890756302525
cc|to: 6.93625580911424e-05
jjr-hl|nn-hl: 0.0006983240223463687
jjs|dti: 0.00035248501938667606
hvz|:: 0.001304631441617743
jj-hl|jjr-hl: 0.058823529411764705
ap-hl|nns-hl: 0.001658374792703151
ben|hvz*: 0.15
rbt|wdt: 0.0003727865796831314
cc-hl|vbg-hl: 0.013888888888888888
md|at: 1.0529530067073107e-05
jj|ex: 0.0004761904761904762
qlp|jjr: 0.0005257623554153522
vbg-hl|vbg-hl: 0.006944444444444444
wrb|ppls: 0.0029585798816568047
fw-at|cc: 2.741528676389955e-05
fw-jj|fw-in+at: 0.25
nn+hvz|``: 0.00011763321962122103
ben|nn+hvz: 0.25
ppss|rb+cs: 0.6666666666666666
vb|abl: 0.002857142857142857
abn|pp$$: 0.00641025641025641
in|np+bez: 0.08
hvz*|wps: 0.00026219192448872575
''|hvz*: 0.05
rb-tl|nn-tl: 0.00023146362163413317
vbz-tl|rb-tl: 0.025
cc|vbz-tl: 0.0625
vbz|beg: 0.0015220700152207
dts|nn-tl: 0.00023146362163413317
ppls|rb: 2.8333427778092593e-05
pps|ppls: 0.0029585798816568047
wql|--: 0.0006138735420503376
fw-nns|ap: 0.0003244295447172056
fw-in+nn|fw-nns: 0.012345679012345678
,|fw-in+nn: 0.2
fw-in+at-tl|np: 2.98926852599169e-05
,|fw-jj: 0.038461538461538464
do*|--: 0.0003069367710251688
vb|nn$: 0.0006997900629811056
cd-tl|vbn-tl: 0.0017921146953405018
vbg|pp$$: 0.00641025641025641
fw-nn|ppo: 9.256687957048968e-05
cc-tl|np$-tl: 0.007352941176470588
fw-uh-tl|``: 0.00011763321962122103
fw-nn-tl|fw-uh-tl: 1.0
fw-pp$-tl|fw-nn-tl: 0.006289308176100629
''|fw-pp$-tl: 0.5
wrb|np$: 0.0008003201280512205
bez*|ppo: 9.256687957048968e-05
fw-rb|be: 0.00016246953696181965
ql|fw-nn: 0.0035460992907801418
nn-hl|np: 2.98926852599169e-05
abl|hvn: 0.0043859649122807015
fw-nns-tl|nn: 6.752240055638458e-06
fw-in+at-tl|fw-at+nn-tl: 0.08333333333333333
fw-jj-tl|fw-cc-tl: 0.08333333333333333
abl|hvd: 0.00042408821034775233
beg|pn$: 0.011494252873563218
pp$|dts: 0.0004278990158322636
rb|fw-wdt: 0.06666666666666667
pn|np: 0.0001195707410396676
'|:-hl: 0.007246376811594203
:-hl|vbg-hl: 0.006944444444444444
``|:-hl: 0.007246376811594203
dod|ql: 0.00011809163911195088
nps|beg: 0.0015220700152207
at-tl|): 0.0004514672686230248
nn|:-hl: 0.12318840579710146
np-hl|fw-at: 0.041666666666666664
ap|np-hl: 0.0020491803278688526
hvd|pp$$: 0.00641025641025641
'|``: 0.0003528996588636631
np-tl|nn$-tl: 0.002824858757062147
in|dod*: 0.002652519893899204
hvd*|rb: 2.8333427778092593e-05
''|nn$-tl: 0.002824858757062147
nn-tl|hvg: 0.003663003663003663
nn-tl|hvn: 0.0043859649122807015
dt+md|cc: 2.741528676389955e-05
ppl|bedz*: 0.006756756756756757
abl|dod: 0.0009970089730807576
nns+md|nn: 6.752240055638458e-06
vb|nns+md: 0.5
dts+bez|``: 0.00011763321962122103
at|dts+bez: 0.5
rp|ppls: 0.0029585798816568047
pps|doz*: 0.03409090909090909
be|cs: 4.663526558783752e-05
jjs-tl|at: 2.1059060134146214e-05
nn-tl|bed: 0.0006343165239454488
cc-hl|vbz-hl: 0.013888888888888888
vbz-hl|cc-hl: 0.008547008547008548
nn-tl|vbz-hl: 0.013888888888888888
ap-tl|``: 0.0005881660981061052
''|pn-tl: 0.2
nr-hl|nns-hl: 0.001658374792703151
nn|vbn-hl: 0.014814814814814815
np|rp-hl: 0.14285714285714285
cd-hl|vbn-hl: 0.007407407407407408
to|nr-tl: 0.013559322033898305
nns$|vbn: 7.049700387733522e-05
nps|*: 0.00022406453058480843
jj-tl|rp: 0.00017190991920233798
dt|ex: 0.0004761904761904762
nps|od-tl: 0.005208333333333333
ppss|nps: 0.000819672131147541
qlp|bez*: 0.008620689655172414
)|od-tl: 0.005208333333333333
vbg|vbn-hl: 0.014814814814814815
bed|nr: 0.0006531678641410843
nr-hl|vbn-hl: 0.007407407407407408
in-hl|nr-hl: 0.1
jjs|dt: 0.0002296211251435132
2-story|at: 1.0529530067073107e-05
nn|2-story: 1.0
jjr|bem: 0.0045045045045045045
cc|wpo: 0.0035971223021582736
hv|vbg-tl: 0.007575757575757576
wps+bez|vbg: 5.748117491521527e-05
nr|hvz: 0.0004178854993731718
in|vbn-tl: 0.0035842293906810036
dts|wdt+bez: 0.022727272727272728
wdt|at: 2.1059060134146214e-05
vbg|ex: 0.0004761904761904762
vb|hvd: 0.00021204410517387616
rp|dt+bez: 0.005780346820809248
,|fw-cd: 0.14285714285714285
)|od: 0.0016155088852988692
rn|in-hl: 0.0020242914979757085
in|rn: 0.2222222222222222
in-tl|vbn-tl: 0.007168458781362007
wdt+bez-tl|``: 0.00011763321962122103
jj-tl|wdt+bez-tl: 1.0
nrs|ap: 0.00010814318157240186
ber|nrs: 0.06666666666666667
cd-tl|at-tl: 0.0027247956403269754
ben|cc: 0.0001096611470555982
rbr|ppl: 0.0008368200836820083
np|ber*: 0.02127659574468085
jjr|np: 2.98926852599169e-05
jjt-hl|nn-hl: 0.0006983240223463687
``|jjt-hl: 0.16666666666666666
(-hl|nn-tl-hl: 0.009615384615384616
nr|vbn-hl: 0.007407407407407408
hvz|nps: 0.000819672131147541
wps|vbg: 0.0001724435247456458
in-tl|nps: 0.000819672131147541
at-tl|rb: 2.8333427778092593e-05
nn-tl|rbr: 0.0017346053772766695
ql|ber*: 0.0425531914893617
rp-hl|nns-hl: 0.003316749585406302
nn|cd$: 0.2
nns$|jj-tl: 0.000501002004008016
dt|jjr: 0.0005257623554153522
dt+bez|uh: 0.001736111111111111
abn|bed*: 0.045454545454545456
vbg|hvd: 0.00042408821034775233
bedz|nps$: 0.02702702702702703
nn$-tl|vbd: 3.940886699507389e-05
cc|dtx: 0.01
fw-vb|fw-uh: 0.125
jj-tl|nns$-tl: 0.013888888888888888
vbn-hl|:: 0.001304631441617743
abn-hl|.: 1.6986580601324952e-05
in-hl|abn-hl: 0.25
:|do: 0.0015527950310559005
bez*|nn-tl: 0.0001543090810894221
dts|pn: 0.00040749796251018743
nns|bed*: 0.045454545454545456
beg|bed*: 0.045454545454545456
hv*|nns: 1.8675531318866023e-05
pp$|hv*: 0.02564102564102564
ppss+md|rp: 0.00034381983840467596
to|bedz*: 0.013513513513513514
fw-nn-tl|``: 0.00047053287848488413
fw-nn$-tl|fw-nn-tl: 0.006289308176100629
''|fw-nn$-tl: 0.25
fw-nn$-tl|fw-nn: 0.0035460992907801418
fw-in|fw-nn$-tl: 0.25
rb+bez-hl|.: 1.6986580601324952e-05
pp$-hl|rb+bez-hl: 1.0
nn$-hl|:-hl: 0.007246376811594203
wdt-hl|): 0.0013544018058690745
pps-hl|wdt-hl: 0.5
doz-hl|pps-hl: 0.7894736842105263
:-hl|doz-hl: 0.9375
nn-hl|:-hl: 0.050724637681159424
vbg-hl|(-hl: 0.006172839506172839
vbz|:-hl: 0.06521739130434782
vbn|:-hl: 0.021739130434782608
dts|(: 0.00045330915684496827
jjt|:-hl: 0.007246376811594203
:|doz: 0.0021929824561403508
do|:-hl: 0.007246376811594203
4|vb: 9.198221677142419e-05
in|4: 0.07692307692307693
*|:-hl: 0.007246376811594203
np$|cc-tl: 0.0033783783783783786
nns-hl|dti-hl: 0.16666666666666666
*|wps: 0.0005243838489774515
doz*|nn-tl: 7.715454054471106e-05
cd-tl-hl|nn-tl: 7.715454054471106e-05
np-hl|cd-tl-hl: 0.058823529411764705
md-hl|,-hl: 0.006369426751592357
od-hl|md-hl: 0.037037037037037035
,-hl|od-hl: 0.125
ppss-tl|,: 1.774622892635315e-05
md|ppss-tl: 0.1111111111111111
nn-hl|in: 8.549273739195855e-06
.|nns-hl: 0.004975124378109453
np-tl|): 0.0004514672686230248
wdt|hvz: 0.0004178854993731718
nr-tl|at-tl: 0.0027247956403269754
bez-hl|.: 1.6986580601324952e-05
pps-hl|bez-hl: 0.06666666666666667
jj-hl|pps-hl: 0.10526315789473684
nn-hl|wdt-hl: 0.16666666666666666
wql|to: 6.93625580911424e-05
ppl|dt: 0.0003444316877152698
:|wrb: 0.00045861041045631735
to|doz: 0.0021929824561403508
cc|hvg: 0.003663003663003663
fw-at+nn-tl|fw-in: 0.012345679012345678
,|fw-at+nn-tl: 0.08333333333333333
np$-tl|``: 0.0005881660981061052
ap-tl|np$-tl: 0.007352941176470588
doz|vbg: 5.748117491521527e-05
vbd|fw-jj-tl: 0.014925373134328358
abx|*: 0.00022406453058480843
'|bez: 0.00030432136335970786
rb-nc|': 0.0031545741324921135
'|rb-nc: 0.038461538461538464
ppss+bem|--: 0.0003069367710251688
dt|bedz*: 0.033783783783783786
vbn-tl|vbn: 0.00010574550581600282
fw-nns|fw-nns: 0.012345679012345678
fw-vb|fw-nns: 0.024691358024691357
rbt|bed: 0.0003171582619727244
fw-nn|fw-nns: 0.012345679012345678
fw-nns|fw-in: 0.037037037037037035
fw-in+at-tl|np-tl: 0.0002572678157962439
np-hl|np: 5.97853705198338e-05
,|np-hl: 0.0020491803278688526
,|at-tl: 0.0027247956403269754
(|abn: 0.00034602076124567473
np|fw-jj: 0.019230769230769232
pp$-tl|jj: 1.610591248047158e-05
fw-vbn|ber: 0.00023507287259050304
np|fw-nns-tl: 0.0625
fw-jj|nn: 6.752240055638458e-06
vbg|np$-tl: 0.007352941176470588
2-foot|at: 1.0529530067073107e-05
nn|2-foot: 1.0
jjr|doz: 0.0021929824561403508
16-inch|at: 2.1059060134146214e-05
nn|16-inch: 1.0
2-inch|cc: 2.741528676389955e-05
,|2-inch: 0.16666666666666666
8-inch-thick|,: 1.774622892635315e-05
np-tl|8-inch-thick: 1.0
md|hvn: 0.0043859649122807015
hvz|vbz: 0.0002768549280177187
rbr|ppss+ber: 0.003663003663003663
ex+bez|--: 0.0006138735420503376
np$-hl|``: 0.00011763321962122103
''|nns-hl: 0.004975124378109453
ppss|np$: 0.00040016006402561027
*|to: 6.93625580911424e-05
do|nns-tl: 0.0014012143858010276
be|rp: 0.00017190991920233798
dt|dt: 0.0001148105625717566
'|np$: 0.0008003201280512205
''|bedz: 0.0006337805006865955
fw-jj|fw-rb: 0.03125
wps|nps-tl: 0.030303030303030304
wps|': 0.0031545741324921135
jj|nps: 0.002459016393442623
fw-np|rb: 2.8333427778092593e-05
fw-vb|fw-np: 0.2857142857142857
fw-np|fw-vb: 0.07692307692307693
''|fw-np: 0.14285714285714285
fw-np|cc: 2.741528676389955e-05
fw-vbg|fw-np: 0.14285714285714285
fw-bez|fw-vbg: 0.14285714285714285
,|fw-bez: 0.25
fw-np|,: 1.774622892635315e-05
np|fw-vb: 0.038461538461538464
at-tl|vbg: 0.00011496234983043054
np$|hvg: 0.003663003663003663
nr$|vbg: 5.748117491521527e-05
abn|hvn: 0.008771929824561403
nps-tl|np: 5.97853705198338e-05
hvd|np$: 0.00040016006402561027
vbd|np$: 0.00040016006402561027
vb|np-hl: 0.0020491803278688526
pps|rbt: 0.01020408163265306
``|wp$: 0.008130081300813009
np$-hl|:: 0.001304631441617743
abl|bed: 0.0003171582619727244
nps-tl|at: 2.1059060134146214e-05
nps$|cs: 4.663526558783752e-05
ppss+bem|np: 2.98926852599169e-05
wps|np$: 0.00040016006402561027
pn|wps: 0.00026219192448872575
nn|md*: 0.0012195121951219512
ppss|ex+bez: 0.00980392156862745
--|ppss+ber: 0.003663003663003663
np|ppss+ber: 0.003663003663003663
jj|bed*: 0.13636363636363635
abn|ppss+hv: 0.00425531914893617
bez|hvd: 0.00021204410517387616
nr|:: 0.001304631441617743
fw-od-tl|in: 8.549273739195855e-06
.|fw-od-tl: 1.0
fw-od-nc|.: 1.6986580601324952e-05
in|fw-od-nc: 1.0
vbg|pn+bez: 0.42857142857142855
uh|bez: 0.00010144045445323595
dti|dt+bez: 0.005780346820809248
vb|vbn+to: 0.6
wdt|': 0.006309148264984227
do|pn: 0.00040749796251018743
'|do: 0.0007763975155279503
cd|dod: 0.0029910269192422734
abl|ppss+ber: 0.003663003663003663
fw-ppss|jj: 1.610591248047158e-05
fw-*|fw-ppss: 0.16666666666666666
fw-vb|fw-*: 0.16666666666666666
fw-wdt|fw-vb: 0.038461538461538464
''|fw-wdt: 0.06666666666666667
in|nn$-tl: 0.002824858757062147
bez*|--: 0.0003069367710251688
nns-tl|rb-tl: 0.025
vbn|jj-tl: 0.000250501002004008
jj-tl|doz: 0.0043859649122807015
vb|jj-tl: 0.000250501002004008
4''|ber: 0.00023507287259050304
pp$-tl|nn-tl: 7.715454054471106e-05
be|'': 0.00011824524062906468
dts|bez: 0.00010144045445323595
rp|nr-tl: 0.003389830508474576
nrs-tl|ap: 0.00010814318157240186
.|nrs-tl: 1.0
hv*|wps: 0.00026219192448872575
.|hv*: 0.02564102564102564
ex|nns-tl: 0.0014012143858010276
vb|nps-tl: 0.015151515151515152
vbg|nr-tl: 0.010169491525423728
vb|nr: 0.002612671456564337
cs|nps-tl: 0.015151515151515152
do*|:: 0.0019569471624266144
rb-tl|vbn: 3.524850193866761e-05
dt-tl|in-tl: 0.001394700139470014
rb-tl|vbz-tl: 0.125
at-tl|rb-tl: 0.05
pp$-tl|vb-tl: 0.020833333333333332
pps+hvz|--: 0.0006138735420503376
cc-tl|``: 0.00023526643924244207
hv-tl|``: 0.00011763321962122103
ppss-tl|hv-tl: 0.3333333333333333
vbn-tl|ppss-tl: 0.1111111111111111
dti-tl|vbn-tl: 0.0017921146953405018
nns-tl|dti-tl: 0.5
.-tl|nn-tl: 7.715454054471106e-05
.-tl|.-tl: 0.5
''|.-tl: 0.5
uh-tl|uh-tl: 0.06666666666666667
ppss-tl|``: 0.00023526643924244207
hv-tl|md-tl: 0.125
ben-tl|hv-tl: 0.3333333333333333
at-tl|ben-tl: 0.5
ex+md|``: 0.00011763321962122103
ex+md|.: 1.6986580601324952e-05
''|vbg-tl: 0.030303030303030304
np$|': 0.0031545741324921135
fw-bez|fw-nn: 0.0035460992907801418
fw-rb|fw-bez: 0.25
fw-ber|fw-vbn: 0.08333333333333333
fw-cd|fw-ber: 0.3333333333333333
fw-nns|fw-cd: 0.14285714285714285
fw-vbg|wdt: 0.0001863932898415657
fw-vbg|fw-vbg: 0.14285714285714285
hvd|fw-vbg: 0.14285714285714285
fw-in-tl|np$: 0.00040016006402561027
fw-nr-tl|fw-in-tl: 0.05263157894736842
fw-in-tl|fw-nr-tl: 0.3333333333333333
.|fw-nr-tl: 0.3333333333333333
fw-nn-tl|jj-tl: 0.000250501002004008
pps|fw-nn-tl: 0.006289308176100629
nn-tl|fw-nn-tl: 0.006289308176100629
nns|fw-nn-tl: 0.012578616352201259
--|od-tl: 0.010416666666666666
nns|od-tl: 0.010416666666666666
fw-at-tl|cc: 2.741528676389955e-05
vbd-tl|fw-at-tl: 0.02702702702702703
fw-in-tl|vbd-tl: 0.16666666666666666
pps|od-tl: 0.005208333333333333
fw-ppss|': 0.0031545741324921135
fw-hv|fw-ppss: 0.16666666666666666
fw-at|fw-hv: 1.0
hvg|nn$: 0.0006997900629811056
beg|to: 6.93625580911424e-05
fw-np-tl|fw-jj-tl: 0.014925373134328358
in|fw-np-tl: 0.25
be|rbt: 0.02040816326530612
at-hl|wrb-hl: 0.05714285714285714
nns-hl|wdt-hl: 0.03333333333333333
pn|bem: 0.009009009009009009
dt|dod*: 0.002652519893899204
jjs|beg: 0.0015220700152207
wps+md|.: 1.6986580601324952e-05
od-tl|nn-tl: 7.715454054471106e-05
ppss+hv|uh: 0.001736111111111111
fw-nns|pp$: 6.105378838756945e-05
bed|fw-nns: 0.012345679012345678
cc|fw-at+nn-tl: 0.08333333333333333
fw-nr-tl|cc: 2.741528676389955e-05
vbd|fw-nr-tl: 0.3333333333333333
fw-at+nn-tl|,: 1.774622892635315e-05
cc|fw-jj-tl: 0.014925373134328358
pps+md|nn-tl: 7.715454054471106e-05
ppss+md|rbr: 0.0008673026886383347
